H,B
-241.2802091,-1.588659727
-246.6079669,-1.597889331
-253.1247139,-1.608779075
-258.4557963,-1.617447077
-264.966326,-1.627773967
-271.4289337,-1.637736337
-278.1023442,-1.647996897
-284.5796091,-1.6573618
-292.2252329,-1.668088795
-298.7026731,-1.676972034
-307.4217824,-1.688281727
-315.049963,-1.698074094
-322.7418997,-1.707698726
-330.3610895,-1.716995971
-339.2263001,-1.72747671
-348.8506547,-1.73843028
-357.2357567,-1.747700836
-367.911483,-1.759190521
-376.2658746,-1.767921431
-386.9548931,-1.77868521
-395.3034745,-1.786957368
-406.0052216,-1.797161446
-416.6381662,-1.806990278
-429.6619617,-1.818664393
-440.3331988,-1.827895037
-453.2968758,-1.838744339
-464.0336096,-1.847447253
-476.9738641,-1.857644295
-489.9917492,-1.867564797
-503.0253745,-1.877183946
-518.3210236,-1.888033113
-533.6174492,-1.898480954
-544.4058302,-1.905942971
-544.4058302,-1.905942971
-523.5838984,-1.896069389
-505.5084003,-1.886134747
-485.913293,-1.875054631
-469.9363306,-1.865575024
-453.9532325,-1.855721448
-437.9181052,-1.845387215
-421.8268852,-1.834632087
-409.359633,-1.826045338
-393.3184137,-1.814544232
-380.8326226,-1.805270316
-369.7889479,-1.796848651
-356.5469366,-1.786400017
-341.8918475,-1.774507245
-329.3965772,-1.764035959
-320.327451,-1.756239278
-308.9860266,-1.746106344
-297.4947694,-1.735615632
-287.7795921,-1.726488027
-276.2988973,-1.715374025
-266.5251293,-1.705635667
-256.7808195,-1.69562328
-247.0732932,-1.685426143
-239.0523455,-1.676801177
-229.3262615,-1.665999709
-221.3461357,-1.656899443
-211.6612118,-1.645852377
-203.662547,-1.636235213
-195.6573833,-1.626342918
-187.6397226,-1.616145456
-179.4802119,-1.605259458
-171.5153881,-1.594567615
-165.2412374,-1.585922889
-157.2460163,-1.574647532
-150.9620108,-1.565498853
-144.6916793,-1.556167118
-138.2804371,-1.546332373
-131.6545416,-1.535940232
-125.9228657,-1.526741925
-119.2830018,-1.515784932
-113.7031122,-1.506368191
-108.2115219,-1.496765922
-102.5065117,-1.486542512
-96.78143497,-1.476047624
-91.87459393,-1.466725791
-86.1345533,-1.45552586
-81.29363468,-1.445796365
-76.40746758,-1.435771241
-71.47377922,-1.425321686
-67.52780025,-1.416722739
-62.64749347,-1.405827745
-58.61228851,-1.396581406
-53.89724172,-1.385594752
-49.88796996,-1.375711056
-45.86240073,-1.365657597
-41.89853398,-1.355277693
-38.73308053,-1.346913029
-34.64514514,-1.335400795
-31.49136225,-1.326451902
-27.48907154,-1.314740141
-24.37530292,-1.30523317
-21.21031904,-1.295321798
-18.37710734,-1.286086727
-15.12401194,-1.275221757
-12.45239126,-1.265910153
-9.770997107,-1.25626288
-7.116262438,-1.246322487
-4.476591815,-1.236054098
-1.790458061,-1.22542462
0.49084351,-1.215914872
2.593054471,-1.206637703
5.252973277,-1.194695819
7.354915013,-1.184749628
9.44752781,-1.174429344
10.93437933,-1.166639962
13.01575983,-1.1554079
14.5215635,-1.146906364
16.61953574,-1.134209164
18.13407981,-1.12464734
19.62134455,-1.114567537
21.14309507,-1.103352599
22.06925849,-1.096155139
23.57143702,-1.082929671
24.49647972,-1.073514898
25.41104144,-1.063919512
26.32614162,-1.052937941
26.80278786,-1.045522138
27.57360877,-1.033808032
28.09049468,-1.025294596
28.87288598,-1.010297416
29.3146833,-1.002092215
29.58868493,-0.994832053
30.18002704,-0.974528395
30.79490439,-0.9666404
31.55102439,-0.951024837
31.97795802,-0.937988427
32.39471748,-0.927878394
32.78444178,-0.918181071
33.15123193,-0.909210799
33.48328585,-0.899968859
33.79000764,-0.890747175
34.17194948,-0.881081951
34.55247633,-0.870221818
34.89464809,-0.860695858
35.18750168,-0.851409299
35.56188019,-0.841716101
35.86614139,-0.832549483
36.22263213,-0.821176632
36.59011099,-0.807924706
36.87659085,-0.794632565
37.2945399,-0.782499508
37.69321122,-0.770048818
38.00033997,-0.758207001
38.33569347,-0.745050422
38.69704277,-0.730470115
39.16336456,-0.711674705
39.50012679,-0.700670905
39.81029214,-0.686685352
40.09732923,-0.672269616
40.44295082,-0.655575163
40.77040289,-0.639214232
41.13384964,-0.620399201
41.46339289,-0.60104259
41.79740026,-0.581252838
42.14648419,-0.56024839
42.48824898,-0.540172328
43.22676922,-0.469973072
43.34140249,-0.46590568
43.89988044,-0.439175818
44.25956431,-0.415123704
44.61306228,-0.388907478
44.98723418,-0.365178044
45.34276698,-0.341560758
45.66358235,-0.316325483
45.96347335,-0.28998289
46.31642034,-0.262185087
46.71736442,-0.233428601
46.98811031,-0.203988513
47.35014206,-0.174884231
47.69242652,-0.146172942
47.99984328,-0.118533891
48.35554513,-0.088818884
48.74009782,-0.05924264
49.07724823,-0.031056592
49.45929025,-0.003236381
49.78331127,0.024520025
50.16185337,0.053396814
50.50558413,0.082655569
50.87563627,0.110834899
51.28318574,0.138608684
51.61765016,0.164365236
51.98047081,0.19044019
52.34627171,0.215458761
52.71520312,0.240632111
53.0630912,0.264990526
53.44122634,0.289474146
53.84990905,0.31339211
54.22816315,0.334199487
54.62888183,0.354269495
55.3819715,0.403333678
56.20348174,0.426499064
56.65332449,0.446644735
57.06982098,0.464185936
57.43627929,0.479893017
57.78531314,0.493802166
58.13960626,0.507264306
58.4785661,0.51941951
58.857415,0.532370655
59.23491151,0.545705773
59.59910958,0.557680388
59.97137186,0.568968765
60.34146783,0.580997514
60.67858693,0.592550134
61.08986798,0.604360007
61.41021378,0.614598209
62.17849897,0.634555805
62.68710153,0.648610037
63.04629077,0.658596069
63.43208315,0.667779418
63.74300609,0.675958833
64.11024702,0.685451085
64.50492381,0.695545973
64.87374879,0.703873734
65.62620609,0.720013431
66.148345,0.731626333
66.46990543,0.73946531
66.84158544,0.746937669
67.17666971,0.753987735
68.01946747,0.770289772
68.4924197,0.779634098
68.88212522,0.787029427
69.26287747,0.794294909
70.03931453,0.807918111
70.53418038,0.820320422
71.13977261,0.826317454
71.59840585,0.833869549
72.42364141,0.84670493
72.93187456,0.855079708
73.69113761,0.866373442
74.13784359,0.873770153
74.99507929,0.886018985
75.91882595,0.898794259
76.39420746,0.905551188
77.21408983,0.916427192
78.17011212,0.928533881
78.64710272,0.934771609
79.46259611,0.944526019
80.38361296,0.955623725
81.31851052,0.966066991
82.08106061,0.975145528
83.06329159,0.986122344
84.01729156,0.99582257
84.94897722,1.005571888
85.89359817,1.014892672
86.84679047,1.024003319
88.34920066,1.038162358
89.27488198,1.046788785
90.22176942,1.055126177
91.16607732,1.063295248
92.34095404,1.073863841
93.71656578,1.084434954
95.20743688,1.096288474
96.13149659,1.103436592
97.65446175,1.114819491
99.16690837,1.125655159
100.6781278,1.136238638
102.1974992,1.1466206
103.7062393,1.15661162
105.210246,1.166359056
106.7541668,1.175744909
108.2703325,1.184790585
109.7623181,1.193566482
111.8669834,1.205612547
113.3847957,1.213931331
115.4688872,1.225257672
116.9709405,1.233095357
119.0788052,1.243787069
121.1994424,1.254129289
123.2750815,1.26407172
125.3544022,1.273730354
127.46196,1.283186753
130.1323598,1.294749717
132.2183046,1.303521715
134.9017524,1.314467968
137.5462503,1.325100238
139.6613151,1.33314363
142.3056001,1.343138064
145.5650254,1.354892808
148.2496503,1.364320619
150.9156611,1.373500525
154.1803519,1.384250931
157.4308365,1.394611923
160.5747833,1.404272035
163.8363812,1.414100831
167.0654906,1.423614326
171.0123148,1.434737974
174.2451307,1.443808198
178.0909331,1.454137196
181.9080537,1.464095843
185.7345409,1.473756251
189.5728864,1.48313095
193.986646,1.493564423
198.3836448,1.503770531
203.2709264,1.514499066
207.4359101,1.523550484
212.3213571,1.533895166
217.3022913,1.544085251
222.2721997,1.553787464
227.6129742,1.564059521
232.9835387,1.574052532
238.3390705,1.583703947
243.6550763,1.593131694
250.1906189,1.604248248
255.5125289,1.613099
262.0151008,1.623522521
268.5085943,1.633659546
274.8238611,1.643427329
282.5872487,1.654541076
289.0664106,1.663814158
296.7622981,1.674459314
303.2978656,1.683398591
310.9752016,1.693395242
318.6494258,1.703144721
327.4705838,1.713992978
335.1079618,1.723133274
343.9229276,1.733365443
353.7391016,1.744343206
362.0818102,1.753468144
372.7777658,1.764755084
381.1212883,1.773333852
390.8542469,1.783086198
402.7397739,1.794523689
413.4256743,1.804496472
424.0978881,1.814171375
434.7378952,1.823526361
447.7783513,1.834651644
458.43773,1.843443529
471.517568,1.853865261
484.437831,1.863824222
497.4805348,1.873560801
512.8013721,1.884621171
525.6444742,1.893393811
541.0666902,1.90368759
544.7120206,1.906149783
